longitude,latitude,sentiment
-104.8207,38.8301,0
-80.28091469,25.97734614,-0.7142857142857143
-122.42,37.76,0.05357142857142857
1.33899903,51.13187848,0
-74.21708269,40.68357786,0.6833333333333332
-71.06929,42.36255,0.55
-111.926,33.4931,0.06666666666666667
-118.2445,34.0564,0.21212121212121213
-118.2445,34.0564,0
-76.868753,38.8889762,0.3833333333333333
-74.0064,40.7142,0.22727272727272727
-82.35334396,29.64957031,0
-0.1094,51.5141,0
-118.384,34.0847,-0.0953125
-77.99382628,38.47195613,0
-104.959,42.0539,0.06011904761904761
-73.4431,40.8634,-0.26565656565656565
-77.19499148,39.0945021,0
0.52550292,51.6028586,0.5
-123.3645,48.4287,0.1406060606060606
-75.3800228,40.11254696,0
-75.15524469,39.96642376,0
-81.565,41.47042,0.3872159090909091
-80.13085376,25.78115433,0.8
-111.9839965,33.3426673,-0.05
-79.7283,43.6286,-0.2
-81.5266,41.609,1
6.74929476,43.42712742,0.2571428571428572
-97.236591,27.5726,0
-118.1938,33.7692,-0.012499999999999997
-74.0064,40.7142,0
-115.96711326,36.1780363,-0.09375
-88.02475858,41.88763428,-0.44768518518518524
-96.61299896,32.77019882,0.22727272727272727
-121.91785214,37.4096688,0.27499999999999997
-123.18456563,49.12627715,-0.0625
-87.632496,41.883222,0.12083333333333333
-1.139452,51.569848,-0.037500000000000006
-1.139452,51.569848,0.05833333333333334
-1.139452,51.569848,0.2
-105.08378327,39.84345165,0
-1.139466,51.569851,-0.037500000000000006
78.1131,9.9251,-0.4333333333333333
-118.2293731,34.18872781,1
-1.0591,50.7955,0.016666666666666663
-76.20147986,40.02334891,0.1
-74.0007613,40.7207559,0
-73.82481,40.82891,0.25
-79.9372,32.7872,0
-118.2445,34.0564,0.65
-66.86166644,10.47232601,0
-97.73549055,30.26585335,0.25
-81.49704,41.5568,0.43333333333333335
-96.7459,33.0504,0.55
-118.2445,34.0564,0
-111.421,35.8554,-0.20833333333333334
-98.25349645,26.21832438,0.44642857142857145
-79.9975,40.4411,0.5
-72.5981195,44.15253213,0
-82.3854,34.8443,0.04999999999999999
-117.2088167,32.9436607,0.11904761904761904
-97.7508,28.4055,0.16499999999999998
-1.139458,51.569851,-0.05
-1.139458,51.569851,0.030000000000000006
-1.139458,51.569851,-0.07000000000000002
-1.139458,51.569851,0.39999999999999997
-74.5,40,0.5
-95.3694,29.7602,0.625
-71.5,41.7,0
-121.97563156,38.38971338,0.625
-80.1256,26.2347,0
-117.81883,33.74416,-0.07954545454545454
-74.0064,40.7142,0.13636363636363635
145.2777,-37.8828,0
-122.02145602,37.40302904,0.3333333333333333
-90.33408638,38.51210819,0
-122.435922,37.723852,0.8
-117.6910615,34.09558285,0.05555555555555558
-73.8517188,42.614541,0
-122.38769,37.75026,0
-77.03625482,38.89797248,0.08522727272727272
-86.7837,36.1651,-0.19999999999999998
-78.560945,36.62143586,0
-118.472778,34.051667,0.625
-86.7023564,36.29492754,0.12878787878787878
120.4103298,15.6556532,0
-84.4854,42.7355,-0.10416666666666667
-117.14416667,32.91638889,0.25
